id,name,value,include,date,time,datetime
0,student,49.02943126,TRUE,2017-01-01,0:10,1/01/2017 0:10
1,storage,75.917259,FALSE,2017-01-08,1:21,8/01/2017 1:21
2,distribution,10.07286053,FALSE,2017-01-15,2:32,15/01/2017 2:32
3,courage,10.09088934,TRUE,2017-01-22,3:43,22/01/2017 3:43
4,drawer,44.91173261,TRUE,2017-01-29,4:54,29/01/2017 4:54
5,emotion,92.15925566,TRUE,2017-02-05,6:05,5/02/2017 6:05
6,percentage,88.08354228,TRUE,2017-02-12,7:16,12/02/2017 7:16
7,teaching,21.3797247,FALSE,2017-02-19,8:27,19/02/2017 8:27
8,river,47.68881694,FALSE,2017-02-26,9:38,26/02/2017 9:38
9,atmosphere,3.390015902,FALSE,2017-03-05,10:49,5/03/2017 10:49
10,painting,72.84866174,TRUE,2017-03-12,12:00,12/03/2017 12:00
11,resource,14.68697064,TRUE,2017-03-19,13:11,19/03/2017 13:11
12,difference,78.4905883,FALSE,2017-03-26,14:22,26/03/2017 14:22
13,client,15.95847775,FALSE,2017-04-02,15:33,2/04/2017 15:33
14,history,31.26117732,TRUE,2017-04-09,16:44,9/04/2017 16:44
15,device,76.13850452,FALSE,2017-04-16,17:55,16/04/2017 17:55
16,inspection,89.58804592,TRUE,2017-04-23,19:06,23/04/2017 19:06
17,promotion,60.03556062,FALSE,2017-04-30,20:17,30/04/2017 20:17
18,recording,22.7356271,TRUE,2017-05-07,21:28,7/05/2017 21:28
19,chemistry,43.73145096,FALSE,2017-05-14,22:39,14/05/2017 22:39
20,wedding,93.51507253,FALSE,2017-05-21,23:50,21/05/2017 23:50
21,finding,3.346631467,FALSE,2017-05-28,1:01,29/05/2017 1:01
22,wood,15.35259695,TRUE,2017-06-04,2:12,5/06/2017 2:12
23,success,75.81527925,TRUE,2017-06-11,3:23,12/06/2017 3:23
24,investment,17.86526787,TRUE,2017-06-18,4:34,19/06/2017 4:34
25,winner,62.96307553,FALSE,2017-06-25,5:45,26/06/2017 5:45
26,mall,97.49748392,TRUE,2017-07-02,6:56,3/07/2017 6:56
27,length,65.73479632,FALSE,2017-07-09,8:07,10/07/2017 8:07
28,library,36.56452941,FALSE,2017-07-16,9:18,17/07/2017 9:18
29,birthday,60.24739237,FALSE,2017-07-23,10:29,24/07/2017 10:29
30,instruction,80.89936614,TRUE,2017-07-30,11:40,31/07/2017 11:40
31,volume,87.450832,TRUE,2017-08-06,12:51,7/08/2017 12:51
32,responsibility,26.83245979,FALSE,2017-08-13,14:02,14/08/2017 14:02
33,soup,43.89030567,FALSE,2017-08-20,15:13,21/08/2017 15:13
34,idea,74.42837558,TRUE,2017-08-27,16:24,28/08/2017 16:24
35,data,70.83774315,FALSE,2017-09-03,17:35,4/09/2017 17:35
36,town,37.22042055,TRUE,2017-09-10,18:46,11/09/2017 18:46
37,story,48.62118069,TRUE,2017-09-17,19:57,18/09/2017 19:57
38,method,19.06495163,FALSE,2017-09-24,21:08,25/09/2017 21:08
39,presentation,15.99692359,TRUE,2017-10-01,22:19,2/10/2017 22:19
40,uncle,26.97243426,FALSE,2017-10-08,23:30,9/10/2017 23:30
41,reality,84.93961705,TRUE,2017-10-15,0:41,17/10/2017 0:41
42,boyfriend,93.53081494,TRUE,2017-10-22,1:52,24/10/2017 1:52
43,meat,22.50204753,TRUE,2017-10-29,3:03,31/10/2017 3:03
44,basket,97.08194704,FALSE,2017-11-05,4:14,7/11/2017 4:14
45,intention,30.92227393,TRUE,2017-11-12,5:25,14/11/2017 5:25
46,inflation,65.35501381,TRUE,2017-11-19,6:36,21/11/2017 6:36
47,basis,0.606437476,TRUE,2017-11-26,7:47,28/11/2017 7:47
48,competition,9.545941782,TRUE,2017-12-03,8:58,5/12/2017 8:58
49,office,13.50482142,TRUE,2017-12-10,10:09,12/12/2017 10:09
50,writer,78.49028123,FALSE,2017-12-17,11:20,19/12/2017 11:20
51,collection,62.25372234,FALSE,2017-12-24,12:31,26/12/2017 12:31
52,importance,25.14774254,TRUE,2017-12-31,13:42,2/01/2018 13:42
53,failure,68.03456881,FALSE,2018-01-07,14:53,9/01/2018 14:53
54,month,73.70996322,TRUE,2018-01-14,16:04,16/01/2018 16:04
55,art,83.90297562,FALSE,2018-01-21,17:15,23/01/2018 17:15
56,recommendation,70.31999574,TRUE,2018-01-28,18:26,30/01/2018 18:26
57,week,78.50414942,FALSE,2018-02-04,19:37,6/02/2018 19:37
58,patience,86.74921169,FALSE,2018-02-11,20:48,13/02/2018 20:48
59,relation,83.75170784,TRUE,2018-02-18,21:59,20/02/2018 21:59
60,solution,4.136921142,FALSE,2018-02-25,23:10,27/02/2018 23:10
61,establishment,81.02719791,TRUE,2018-03-04,0:21,7/03/2018 0:21
62,poem,35.5105379,TRUE,2018-03-11,1:32,14/03/2018 1:32
63,injury,41.4126903,TRUE,2018-03-18,2:43,21/03/2018 2:43
64,measurement,70.52636831,FALSE,2018-03-25,3:54,28/03/2018 3:54
65,opportunity,1.92583761,FALSE,2018-04-01,5:05,4/04/2018 5:05
66,meaning,6.410830691,TRUE,2018-04-08,6:16,11/04/2018 6:16
67,cheek,23.46612548,FALSE,2018-04-15,7:27,18/04/2018 7:27
68,employer,78.78188125,TRUE,2018-04-22,8:38,25/04/2018 8:38
